episode_id,seed,task_id,step,day,hour,weather,battery_level,solar_output,wind_output,generation,grid_price,home_demand,rule_action,rule_action_name,rule_reward,optimal_action,optimal_action_name,optimal_reward,reward_gap
3,0,3,136,6,15,sunny,20.46,10.78,5.39,16.17,12.27,6.22,2,SELL,1.9841,2,SELL,1.9841,0.0
3,0,3,137,6,16,sunny,14.24,7.55,2.45,10.0,12.73,7.56,2,SELL,1.273,2,SELL,1.273,0.0
3,0,3,138,6,17,sunny,6.68,3.97,2.76,6.73,30.24,6.83,2,SELL,1.9602,2,SELL,1.9602,0.0
3,0,3,139,6,18,sunny,0,0.41,4.99,5.4,29.65,12.18,2,SELL,-4.4889,2,SELL,-4.4889,0.0
3,0,3,140,6,19,sunny,0,0.2,2.77,2.97,30.07,12.06,2,SELL,-5.1369,2,SELL,-5.1369,0.0
3,0,3,141,6,20,sunny,0,0.1,3.0,3.1,29.53,12.56,2,SELL,-5.3646,2,SELL,-5.3646,0.0
3,0,3,142,6,21,sunny,0,0.4,5.56,5.96,17.38,12.9,2,SELL,-5.4142,2,SELL,-5.4142,0.0
3,0,3,143,6,22,sunny,0,0.28,4.33,4.61,17.98,7.27,2,SELL,-2.8061,2,SELL,-2.8061,0.0
3,0,3,144,6,23,sunny,0,0.34,3.2,3.54,17.48,7.72,2,SELL,-3.2412,2,SELL,-3.2412,0.0
3,0,3,145,7,0,sunny,0,0.3,4.91,5.21,3.27,3.0,1,DISTRIBUTE,-0.0,0,STORE,-0.0,0.0
3,0,3,146,7,1,sunny,5.21,0.33,3.97,4.3,2.96,4.05,1,DISTRIBUTE,-0.0,0,STORE,-0.0,0.0
3,0,3,147,7,2,sunny,9.51,0.1,4.12,4.22,3.0,3.07,1,DISTRIBUTE,-0.0,0,STORE,-0.0,0.0
3,0,3,148,7,3,sunny,13.73,0.32,3.78,4.1,3.46,4.13,1,DISTRIBUTE,-0.009,1,DISTRIBUTE,-0.009,0.0
3,0,3,149,7,4,sunny,13.73,0.45,2.54,2.99,3.12,4.58,1,DISTRIBUTE,-0.477,1,DISTRIBUTE,-0.477,0.0
3,0,3,150,7,5,sunny,13.73,0.03,3.44,3.47,2.58,3.47,1,DISTRIBUTE,-0.0,1,DISTRIBUTE,-0.0,0.0
3,0,3,151,7,6,sunny,13.73,0.27,5.72,5.99,6.37,6.65,1,DISTRIBUTE,-0.198,1,DISTRIBUTE,-0.198,0.0
3,0,3,152,7,7,sunny,13.73,4.23,2.54,6.77,6.1,12.72,1,DISTRIBUTE,-1.785,1,DISTRIBUTE,-1.785,0.0
3,0,3,153,7,8,sunny,13.73,7.96,4.86,12.82,5.84,12.48,1,DISTRIBUTE,-0.0,0,STORE,-0.0,0.0
3,0,3,154,7,9,sunny,26.55,11.01,5.73,16.74,5.94,12.72,0,STORE,-0.0,0,STORE,-0.0,0.0
3,0,3,155,7,10,sunny,43.29,13.37,3.94,17.31,4.54,6.22,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,156,7,11,sunny,60.6,14.53,2.8,17.33,5.0,6.32,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,157,7,12,sunny,77.93,15.35,4.15,19.5,5.15,6.84,0,STORE,0.02,0,STORE,0.02,0.0
3,0,3,158,7,13,sunny,97.43,14.64,3.86,18.5,4.9,7.51,0,STORE,-0.7965,0,STORE,-0.7965,0.0
3,0,3,159,7,14,sunny,100,13.08,5.6,18.68,4.87,7.44,0,STORE,-0.934,0,STORE,-0.934,0.0
3,0,3,160,7,15,sunny,100,10.79,4.12,14.91,4.72,7.19,0,STORE,-0.7455,0,STORE,-0.7455,0.0
3,0,3,161,7,16,sunny,100,7.5,2.84,10.34,4.64,7.57,0,STORE,-0.517,0,STORE,-0.517,0.0
3,0,3,162,7,17,sunny,100,4.11,2.78,6.89,11.67,6.42,2,SELL,0.8041,2,SELL,0.8041,0.0
3,0,3,163,7,18,sunny,93.58,0.2,2.67,2.87,11.61,11.05,2,SELL,0.3332,2,SELL,0.3332,0.0
3,0,3,164,7,19,sunny,82.53,0.08,3.96,4.04,11.52,11.12,2,SELL,0.4654,2,SELL,0.4654,0.0
3,0,3,165,7,20,sunny,71.41,0.22,3.63,3.85,11.55,12.41,2,SELL,0.4647,2,SELL,0.4647,0.0
3,0,3,166,7,21,sunny,59.0,0.2,3.59,3.79,7.47,11.05,1,DISTRIBUTE,-2.158,1,DISTRIBUTE,-2.158,0.0
3,0,3,167,7,22,sunny,59.0,0.11,2.38,2.49,6.66,6.95,1,DISTRIBUTE,-1.318,1,DISTRIBUTE,-1.318,0.0
